TC Collection,Size Group,Vector Name,Classifier,AVG Accuracy,AVG # missing URLs,Vector Path
tc04,50,rdf2vec-cbow-200-original,Random_Forrest,0.64,0.0,embeddings/rdf2vec-cbow-200-original.txt
tc04,50,rdf2vec-cbow-oa-200-original,KNN,0.8319444444444445,5.0,embeddings/rdf2vec-cbow-oa-200-original.txt
tc04,50,rdf2vec-sg-200-original,SVM,0.9129824561403508,5.0,embeddings/rdf2vec-sg-200-original.txt
tc04,50,rdf2vec-sg-oa-200-original,Multi_Layer_Perceptron,0.923391812865497,5.0,embeddings/rdf2vec-sg-oa-200-original.txt
tc04,50,non-rdf2vec-ComplEx-200-original,SVM,0.9400000000000001,0.0,embeddings/non-rdf2vec-ComplEx-200-original.txt
tc04,50,non-rdf2vec-DistMult-200-original,SVM,0.9199999999999999,0.0,embeddings/non-rdf2vec-DistMult-200-original.txt
tc04,50,non-rdf2vec-RESCAL-200-original,KNN,0.9600000000000002,0.0,embeddings/non-rdf2vec-RESCAL-200-original.txt
tc04,50,non-rdf2vec-RotatE-200-original,Naive_Bayes,0.8400000000000001,0.0,embeddings/non-rdf2vec-RotatE-200-original.txt
tc04,50,non-rdf2vec-TransE-L1-200-original,Naive_Bayes,0.9,0.0,embeddings/non-rdf2vec-TransE-L1-200-original.txt
tc04,50,non-rdf2vec-TransE-L2-200-original,Naive_Bayes,0.95,0.0,embeddings/non-rdf2vec-TransE-L2-200-original.txt
tc04,50,non-rdf2vec-TransR-200-original,SVM,0.9099999999999999,0.0,embeddings/non-rdf2vec-TransR-200-original.txt
tc04,50,rdf2vec-cbow-200-avgbin,KNN,0.6599999999999999,0.0,embeddings/rdf2vec-cbow-200-avgbin.txt
tc04,50,rdf2vec-cbow-oa-200-avgbin,Random_Forrest,0.8099999999999999,5.0,embeddings/rdf2vec-cbow-oa-200-avgbin.txt
tc04,50,rdf2vec-sg-200-avgbin,Multi_Layer_Perceptron,0.9235087719298246,5.0,embeddings/rdf2vec-sg-200-avgbin.txt
tc04,50,rdf2vec-sg-oa-200-avgbin,SVM,0.8894736842105264,5.0,embeddings/rdf2vec-sg-oa-200-avgbin.txt
tc04,50,non-rdf2vec-ComplEx-200-avgbin,SVM,0.89,0.0,embeddings/non-rdf2vec-ComplEx-200-avgbin.txt
tc04,50,non-rdf2vec-DistMult-200-avgbin,Random_Forrest,0.8899999999999999,0.0,embeddings/non-rdf2vec-DistMult-200-avgbin.txt
tc04,50,non-rdf2vec-RESCAL-200-avgbin,Multi_Layer_Perceptron,0.9100000000000001,0.0,embeddings/non-rdf2vec-RESCAL-200-avgbin.txt
tc04,50,non-rdf2vec-RotatE-200-avgbin,Naive_Bayes,0.76,0.0,embeddings/non-rdf2vec-RotatE-200-avgbin.txt
tc04,50,non-rdf2vec-TransE-L1-200-avgbin,Multi_Layer_Perceptron,0.8800000000000001,0.0,embeddings/non-rdf2vec-TransE-L1-200-avgbin.txt
tc04,50,non-rdf2vec-TransE-L2-200-avgbin,Multi_Layer_Perceptron,0.93,0.0,embeddings/non-rdf2vec-TransE-L2-200-avgbin.txt
tc04,50,non-rdf2vec-TransR-200-avgbin,Random_Forrest,0.86,0.0,embeddings/non-rdf2vec-TransR-200-avgbin.txt
tc04,50,rdf2vec-cbow-128-autoencoded,Random_Forrest,0.6270760233918129,5.0,embeddings/rdf2vec-cbow-128-autoencoded.txt
tc04,50,rdf2vec-cbow-oa-128-autoencoded,Multi_Layer_Perceptron,0.7988888888888889,5.0,embeddings/rdf2vec-cbow-oa-128-autoencoded.txt
tc04,50,rdf2vec-sg-128-autoencoded,Multi_Layer_Perceptron,0.8746685340802987,10.0,embeddings/rdf2vec-sg-128-autoencoded.txt
tc04,50,rdf2vec-sg-oa-128-autoencoded,SVM,0.9016959064327486,5.0,embeddings/rdf2vec-sg-oa-128-autoencoded.txt
tc04,50,non-rdf2vec-ComplEx-128-autoencoded,SVM,0.9559210526315789,5.0,embeddings/non-rdf2vec-ComplEx-128-autoencoded.txt
tc04,50,non-rdf2vec-DistMult-128-autoencoded,SVM,0.9039766081871345,5.0,embeddings/non-rdf2vec-DistMult-128-autoencoded.txt
tc04,50,non-rdf2vec-RESCAL-128-autoencoded,Random_Forrest,0.945921052631579,5.0,embeddings/non-rdf2vec-RESCAL-128-autoencoded.txt
tc04,50,non-rdf2vec-RotatE-128-autoencoded,SVM,0.7540643274853801,5.0,embeddings/non-rdf2vec-RotatE-128-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L1-128-autoencoded,SVM,0.8130409356725146,5.0,embeddings/non-rdf2vec-TransE-L1-128-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L2-128-autoencoded,Multi_Layer_Perceptron,0.945921052631579,5.0,embeddings/non-rdf2vec-TransE-L2-128-autoencoded.txt
tc04,50,non-rdf2vec-TransR-128-autoencoded,Random_Forrest,0.8821783625730995,5.0,embeddings/non-rdf2vec-TransR-128-autoencoded.txt
tc04,50,rdf2vec-cbow-256-autoencoded,KNN,0.653874269005848,5.0,embeddings/rdf2vec-cbow-256-autoencoded.txt
tc04,50,rdf2vec-cbow-oa-256-autoencoded,Random_Forrest,0.8416959064327486,5.0,embeddings/rdf2vec-cbow-oa-256-autoencoded.txt
tc04,50,rdf2vec-sg-256-autoencoded,Multi_Layer_Perceptron,0.886454248366013,10.0,embeddings/rdf2vec-sg-256-autoencoded.txt
tc04,50,rdf2vec-sg-oa-256-autoencoded,Multi_Layer_Perceptron,0.9455555555555556,5.0,embeddings/rdf2vec-sg-oa-256-autoencoded.txt
tc04,50,non-rdf2vec-ComplEx-256-autoencoded,SVM,0.9257309941520468,5.0,embeddings/non-rdf2vec-ComplEx-256-autoencoded.txt
tc04,50,non-rdf2vec-DistMult-256-autoencoded,Random_Forrest,0.9342836257309941,5.0,embeddings/non-rdf2vec-DistMult-256-autoencoded.txt
tc04,50,non-rdf2vec-RESCAL-256-autoencoded,SVM,0.9589473684210527,5.0,embeddings/non-rdf2vec-RESCAL-256-autoencoded.txt
tc04,50,non-rdf2vec-RotatE-256-autoencoded,Random_Forrest,0.6938742690058479,5.0,embeddings/non-rdf2vec-RotatE-256-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L1-256-autoencoded,Multi_Layer_Perceptron,0.8135672514619884,5.0,embeddings/non-rdf2vec-TransE-L1-256-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L2-256-autoencoded,Multi_Layer_Perceptron,0.9242836257309941,5.0,embeddings/non-rdf2vec-TransE-L2-256-autoencoded.txt
tc04,50,non-rdf2vec-TransR-256-autoencoded,Random_Forrest,0.8244883040935672,5.0,embeddings/non-rdf2vec-TransR-256-autoencoded.txt
tc04,50,rdf2vec-cbow-512-autoencoded,Random_Forrest,0.7122076023391812,5.0,embeddings/rdf2vec-cbow-512-autoencoded.txt
tc04,50,rdf2vec-cbow-oa-512-autoencoded,Decision_Tree,0.8411695906432748,5.0,embeddings/rdf2vec-cbow-oa-512-autoencoded.txt
tc04,50,rdf2vec-sg-512-autoencoded,Random_Forrest,0.8929038281979459,10.0,embeddings/rdf2vec-sg-512-autoencoded.txt
tc04,50,rdf2vec-sg-oa-512-autoencoded,Random_Forrest,0.9133918128654971,5.0,embeddings/rdf2vec-sg-oa-512-autoencoded.txt
tc04,50,non-rdf2vec-ComplEx-512-autoencoded,Random_Forrest,0.9211988304093568,5.0,embeddings/non-rdf2vec-ComplEx-512-autoencoded.txt
tc04,50,non-rdf2vec-DistMult-512-autoencoded,Multi_Layer_Perceptron,0.9042836257309942,5.0,embeddings/non-rdf2vec-DistMult-512-autoencoded.txt
tc04,50,non-rdf2vec-RESCAL-512-autoencoded,Multi_Layer_Perceptron,0.9478947368421051,5.0,embeddings/non-rdf2vec-RESCAL-512-autoencoded.txt
tc04,50,non-rdf2vec-RotatE-512-autoencoded,Naive_Bayes,0.755233918128655,5.0,embeddings/non-rdf2vec-RotatE-512-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L1-512-autoencoded,Multi_Layer_Perceptron,0.8236257309941519,5.0,embeddings/non-rdf2vec-TransE-L1-512-autoencoded.txt
tc04,50,non-rdf2vec-TransE-L2-512-autoencoded,Random_Forrest,0.9448099415204678,5.0,embeddings/non-rdf2vec-TransE-L2-512-autoencoded.txt
tc04,50,non-rdf2vec-TransR-512-autoencoded,Naive_Bayes,0.8900877192982456,5.0,embeddings/non-rdf2vec-TransR-512-autoencoded.txt
tc04,5000,rdf2vec-cbow-200-original,Multi_Layer_Perceptron,0.7017937853563924,0.0,embeddings/rdf2vec-cbow-200-original.txt
tc04,5000,rdf2vec-cbow-oa-200-original,Random_Forrest,0.8740200080360883,330.6,embeddings/rdf2vec-cbow-oa-200-original.txt
tc04,5000,rdf2vec-sg-200-original,Multi_Layer_Perceptron,0.958465076187504,271.4,embeddings/rdf2vec-sg-200-original.txt
tc04,5000,rdf2vec-sg-oa-200-original,Multi_Layer_Perceptron,0.9691247947990679,330.6,embeddings/rdf2vec-sg-oa-200-original.txt
tc04,5000,non-rdf2vec-ComplEx-200-original,Multi_Layer_Perceptron,0.9894140011314047,0.0,embeddings/non-rdf2vec-ComplEx-200-original.txt
tc04,5000,non-rdf2vec-DistMult-200-original,Multi_Layer_Perceptron,0.9833248222078552,0.0,embeddings/non-rdf2vec-DistMult-200-original.txt
tc04,5000,non-rdf2vec-RESCAL-200-original,Multi_Layer_Perceptron,0.9904227816389204,0.0,embeddings/non-rdf2vec-RESCAL-200-original.txt
tc04,5000,non-rdf2vec-RotatE-200-original,Naive_Bayes,0.8622796427994182,0.0,embeddings/non-rdf2vec-RotatE-200-original.txt
tc04,5000,non-rdf2vec-TransE-L1-200-original,Multi_Layer_Perceptron,0.9321832471310814,0.0,embeddings/non-rdf2vec-TransE-L1-200-original.txt
tc04,5000,non-rdf2vec-TransE-L2-200-original,Multi_Layer_Perceptron,0.9865683327945692,0.0,embeddings/non-rdf2vec-TransE-L2-200-original.txt
tc04,5000,non-rdf2vec-TransR-200-original,Multi_Layer_Perceptron,0.9719617302408275,0.0,embeddings/non-rdf2vec-TransR-200-original.txt
tc04,5000,rdf2vec-cbow-200-avgbin,Random_Forrest,0.6634185227089058,0.0,embeddings/rdf2vec-cbow-200-avgbin.txt
tc04,5000,rdf2vec-cbow-oa-200-avgbin,Random_Forrest,0.8613975074744724,330.6,embeddings/rdf2vec-cbow-oa-200-avgbin.txt
tc04,5000,rdf2vec-sg-200-avgbin,Multi_Layer_Perceptron,0.9333161410418629,271.4,embeddings/rdf2vec-sg-200-avgbin.txt
tc04,5000,rdf2vec-sg-oa-200-avgbin,Multi_Layer_Perceptron,0.9430861527008247,330.6,embeddings/rdf2vec-sg-oa-200-avgbin.txt
tc04,5000,non-rdf2vec-ComplEx-200-avgbin,Multi_Layer_Perceptron,0.9579115605301439,0.0,embeddings/non-rdf2vec-ComplEx-200-avgbin.txt
tc04,5000,non-rdf2vec-DistMult-200-avgbin,SVM,0.9379440318409568,0.0,embeddings/non-rdf2vec-DistMult-200-avgbin.txt
tc04,5000,non-rdf2vec-RESCAL-200-avgbin,Multi_Layer_Perceptron,0.9578898900921287,0.0,embeddings/non-rdf2vec-RESCAL-200-avgbin.txt
tc04,5000,non-rdf2vec-RotatE-200-avgbin,SVM,0.8281869039922418,0.0,embeddings/non-rdf2vec-RotatE-200-avgbin.txt
tc04,5000,non-rdf2vec-TransE-L1-200-avgbin,SVM,0.903576567803459,0.0,embeddings/non-rdf2vec-TransE-L1-200-avgbin.txt
tc04,5000,non-rdf2vec-TransE-L2-200-avgbin,Multi_Layer_Perceptron,0.9683008041053822,0.0,embeddings/non-rdf2vec-TransE-L2-200-avgbin.txt
tc04,5000,non-rdf2vec-TransR-200-avgbin,Multi_Layer_Perceptron,0.9356407426862777,0.0,embeddings/non-rdf2vec-TransR-200-avgbin.txt
tc04,5000,rdf2vec-cbow-128-autoencoded,Random_Forrest,0.6396681005896843,323.4,embeddings/rdf2vec-cbow-128-autoencoded.txt
tc04,5000,rdf2vec-cbow-oa-128-autoencoded,Random_Forrest,0.8612803654796227,330.6,embeddings/rdf2vec-cbow-oa-128-autoencoded.txt
tc04,5000,rdf2vec-sg-128-autoencoded,Multi_Layer_Perceptron,0.9174298891259165,585.4,embeddings/rdf2vec-sg-128-autoencoded.txt
tc04,5000,rdf2vec-sg-oa-128-autoencoded,Random_Forrest,0.9368206342397787,330.6,embeddings/rdf2vec-sg-oa-128-autoencoded.txt
tc04,5000,non-rdf2vec-ComplEx-128-autoencoded,SVM,0.9588991640128677,323.4,embeddings/non-rdf2vec-ComplEx-128-autoencoded.txt
tc04,5000,non-rdf2vec-DistMult-128-autoencoded,SVM,0.9466283233756382,323.4,embeddings/non-rdf2vec-DistMult-128-autoencoded.txt
tc04,5000,non-rdf2vec-RESCAL-128-autoencoded,Multi_Layer_Perceptron,0.9546806542847491,323.4,embeddings/non-rdf2vec-RESCAL-128-autoencoded.txt
tc04,5000,non-rdf2vec-RotatE-128-autoencoded,SVM,0.7952879713703009,323.4,embeddings/non-rdf2vec-RotatE-128-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L1-128-autoencoded,SVM,0.8664230215428788,323.4,embeddings/non-rdf2vec-TransE-L1-128-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L2-128-autoencoded,Multi_Layer_Perceptron,0.9544344222965024,323.4,embeddings/non-rdf2vec-TransE-L2-128-autoencoded.txt
tc04,5000,non-rdf2vec-TransR-128-autoencoded,Multi_Layer_Perceptron,0.9248648080651336,323.4,embeddings/non-rdf2vec-TransR-128-autoencoded.txt
tc04,5000,rdf2vec-cbow-256-autoencoded,Random_Forrest,0.656881228538879,323.4,embeddings/rdf2vec-cbow-256-autoencoded.txt
tc04,5000,rdf2vec-cbow-oa-256-autoencoded,SVM,0.8682868805074617,330.6,embeddings/rdf2vec-cbow-oa-256-autoencoded.txt
tc04,5000,rdf2vec-sg-256-autoencoded,Random_Forrest,0.9131002364599053,585.4,embeddings/rdf2vec-sg-256-autoencoded.txt
tc04,5000,rdf2vec-sg-oa-256-autoencoded,Multi_Layer_Perceptron,0.935832556985636,330.6,embeddings/rdf2vec-sg-oa-256-autoencoded.txt
tc04,5000,non-rdf2vec-ComplEx-256-autoencoded,Multi_Layer_Perceptron,0.9669494847174237,323.4,embeddings/non-rdf2vec-ComplEx-256-autoencoded.txt
tc04,5000,non-rdf2vec-DistMult-256-autoencoded,Multi_Layer_Perceptron,0.9581836620678427,323.4,embeddings/non-rdf2vec-DistMult-256-autoencoded.txt
tc04,5000,non-rdf2vec-RESCAL-256-autoencoded,Multi_Layer_Perceptron,0.9600652322503642,323.4,embeddings/non-rdf2vec-RESCAL-256-autoencoded.txt
tc04,5000,non-rdf2vec-RotatE-256-autoencoded,SVM,0.8058735702061247,323.4,embeddings/non-rdf2vec-RotatE-256-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L1-256-autoencoded,SVM,0.8790226786403348,323.4,embeddings/non-rdf2vec-TransE-L1-256-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L2-256-autoencoded,Multi_Layer_Perceptron,0.9622990433244581,323.4,embeddings/non-rdf2vec-TransE-L2-256-autoencoded.txt
tc04,5000,non-rdf2vec-TransR-256-autoencoded,Multi_Layer_Perceptron,0.9289447998857762,323.4,embeddings/non-rdf2vec-TransR-256-autoencoded.txt
tc04,5000,rdf2vec-cbow-512-autoencoded,Multi_Layer_Perceptron,0.6675302668753373,323.4,embeddings/rdf2vec-cbow-512-autoencoded.txt
tc04,5000,rdf2vec-cbow-oa-512-autoencoded,Random_Forrest,0.8634127029256915,330.6,embeddings/rdf2vec-cbow-oa-512-autoencoded.txt
tc04,5000,rdf2vec-sg-512-autoencoded,Multi_Layer_Perceptron,0.9288590399511086,585.4,embeddings/rdf2vec-sg-512-autoencoded.txt
tc04,5000,rdf2vec-sg-oa-512-autoencoded,Multi_Layer_Perceptron,0.9461154248646346,330.6,embeddings/rdf2vec-sg-oa-512-autoencoded.txt
tc04,5000,non-rdf2vec-ComplEx-512-autoencoded,Multi_Layer_Perceptron,0.9750997151568044,323.4,embeddings/non-rdf2vec-ComplEx-512-autoencoded.txt
tc04,5000,non-rdf2vec-DistMult-512-autoencoded,Multi_Layer_Perceptron,0.9656729536556531,323.4,embeddings/non-rdf2vec-DistMult-512-autoencoded.txt
tc04,5000,non-rdf2vec-RESCAL-512-autoencoded,Multi_Layer_Perceptron,0.9554144306564707,323.4,embeddings/non-rdf2vec-RESCAL-512-autoencoded.txt
tc04,5000,non-rdf2vec-RotatE-512-autoencoded,SVM,0.8187915430274695,323.4,embeddings/non-rdf2vec-RotatE-512-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L1-512-autoencoded,Multi_Layer_Perceptron,0.8873374913757768,323.4,embeddings/non-rdf2vec-TransE-L1-512-autoencoded.txt
tc04,5000,non-rdf2vec-TransE-L2-512-autoencoded,Multi_Layer_Perceptron,0.9684433252609204,323.4,embeddings/non-rdf2vec-TransE-L2-512-autoencoded.txt
tc04,5000,non-rdf2vec-TransR-512-autoencoded,Multi_Layer_Perceptron,0.9473296628845762,323.4,embeddings/non-rdf2vec-TransR-512-autoencoded.txt
tc04,500,rdf2vec-cbow-200-original,Multi_Layer_Perceptron,0.6519999999999999,0.0,embeddings/rdf2vec-cbow-200-original.txt
tc04,500,rdf2vec-cbow-oa-200-original,SVM,0.8623990929705215,37.4,embeddings/rdf2vec-cbow-oa-200-original.txt
tc04,500,rdf2vec-sg-200-original,Multi_Layer_Perceptron,0.9413098250686159,45.4,embeddings/rdf2vec-sg-200-original.txt
tc04,500,rdf2vec-sg-oa-200-original,Multi_Layer_Perceptron,0.9430981502584114,37.4,embeddings/rdf2vec-sg-oa-200-original.txt
tc04,500,non-rdf2vec-ComplEx-200-original,SVM,0.982,0.0,embeddings/non-rdf2vec-ComplEx-200-original.txt
tc04,500,non-rdf2vec-DistMult-200-original,SVM,0.9729999999999999,0.0,embeddings/non-rdf2vec-DistMult-200-original.txt
tc04,500,non-rdf2vec-RESCAL-200-original,Multi_Layer_Perceptron,0.9780000000000001,0.0,embeddings/non-rdf2vec-RESCAL-200-original.txt
tc04,500,non-rdf2vec-RotatE-200-original,Naive_Bayes,0.842,0.0,embeddings/non-rdf2vec-RotatE-200-original.txt
tc04,500,non-rdf2vec-TransE-L1-200-original,Random_Forrest,0.908,0.0,embeddings/non-rdf2vec-TransE-L1-200-original.txt
tc04,500,non-rdf2vec-TransE-L2-200-original,Multi_Layer_Perceptron,0.974,0.0,embeddings/non-rdf2vec-TransE-L2-200-original.txt
tc04,500,non-rdf2vec-TransR-200-original,Multi_Layer_Perceptron,0.932,0.0,embeddings/non-rdf2vec-TransR-200-original.txt
tc04,500,rdf2vec-cbow-200-avgbin,Random_Forrest,0.643,0.0,embeddings/rdf2vec-cbow-200-avgbin.txt
tc04,500,rdf2vec-cbow-oa-200-avgbin,Multi_Layer_Perceptron,0.8433087008068879,37.4,embeddings/rdf2vec-cbow-oa-200-avgbin.txt
tc04,500,rdf2vec-sg-200-avgbin,Multi_Layer_Perceptron,0.9107097631001537,45.4,embeddings/rdf2vec-sg-200-avgbin.txt
tc04,500,rdf2vec-sg-oa-200-avgbin,Random_Forrest,0.9133563332636768,37.4,embeddings/rdf2vec-sg-oa-200-avgbin.txt
tc04,500,non-rdf2vec-ComplEx-200-avgbin,Random_Forrest,0.9410000000000001,0.0,embeddings/non-rdf2vec-ComplEx-200-avgbin.txt
tc04,500,non-rdf2vec-DistMult-200-avgbin,Multi_Layer_Perceptron,0.921,0.0,embeddings/non-rdf2vec-DistMult-200-avgbin.txt
tc04,500,non-rdf2vec-RESCAL-200-avgbin,Multi_Layer_Perceptron,0.9410000000000001,0.0,embeddings/non-rdf2vec-RESCAL-200-avgbin.txt
tc04,500,non-rdf2vec-RotatE-200-avgbin,Naive_Bayes,0.8,0.0,embeddings/non-rdf2vec-RotatE-200-avgbin.txt
tc04,500,non-rdf2vec-TransE-L1-200-avgbin,Multi_Layer_Perceptron,0.858,0.0,embeddings/non-rdf2vec-TransE-L1-200-avgbin.txt
tc04,500,non-rdf2vec-TransE-L2-200-avgbin,Multi_Layer_Perceptron,0.9550000000000001,0.0,embeddings/non-rdf2vec-TransE-L2-200-avgbin.txt
tc04,500,non-rdf2vec-TransR-200-avgbin,Multi_Layer_Perceptron,0.9030000000000001,0.0,embeddings/non-rdf2vec-TransR-200-avgbin.txt
tc04,500,rdf2vec-cbow-128-autoencoded,Random_Forrest,0.6228260331083085,36.2,embeddings/rdf2vec-cbow-128-autoencoded.txt
tc04,500,rdf2vec-cbow-oa-128-autoencoded,Random_Forrest,0.846435040344395,37.4,embeddings/rdf2vec-cbow-oa-128-autoencoded.txt
tc04,500,rdf2vec-sg-128-autoencoded,Multi_Layer_Perceptron,0.9042755688151946,80.0,embeddings/rdf2vec-sg-128-autoencoded.txt
tc04,500,rdf2vec-sg-oa-128-autoencoded,Random_Forrest,0.9103239560516236,37.4,embeddings/rdf2vec-sg-oa-128-autoencoded.txt
tc04,500,non-rdf2vec-ComplEx-128-autoencoded,Multi_Layer_Perceptron,0.9451435158534954,36.2,embeddings/non-rdf2vec-ComplEx-128-autoencoded.txt
tc04,500,non-rdf2vec-DistMult-128-autoencoded,Multi_Layer_Perceptron,0.9307197539263058,36.2,embeddings/non-rdf2vec-DistMult-128-autoencoded.txt
tc04,500,non-rdf2vec-RESCAL-128-autoencoded,Multi_Layer_Perceptron,0.9301306423383979,36.2,embeddings/non-rdf2vec-RESCAL-128-autoencoded.txt
tc04,500,non-rdf2vec-RotatE-128-autoencoded,SVM,0.7814454271111344,36.2,embeddings/non-rdf2vec-RotatE-128-autoencoded.txt
