TC Collection,Size Group,rdf2vec-cbow-200-original,rdf2vec-cbow-oa-200-original,rdf2vec-sg-200-original,rdf2vec-sg-oa-200-original,non-rdf2vec-ComplEx-200-original,non-rdf2vec-DistMult-200-original,non-rdf2vec-RESCAL-200-original,non-rdf2vec-RotatE-200-original,non-rdf2vec-TransE-L1-200-original,non-rdf2vec-TransE-L2-200-original,non-rdf2vec-TransR-200-original,rdf2vec-cbow-200-avgbin,rdf2vec-cbow-oa-200-avgbin,rdf2vec-sg-200-avgbin,rdf2vec-sg-oa-200-avgbin,non-rdf2vec-ComplEx-200-avgbin,non-rdf2vec-DistMult-200-avgbin,non-rdf2vec-RESCAL-200-avgbin,non-rdf2vec-RotatE-200-avgbin,non-rdf2vec-TransE-L1-200-avgbin,non-rdf2vec-TransE-L2-200-avgbin,non-rdf2vec-TransR-200-avgbin,rdf2vec-cbow-128-autoencoded,rdf2vec-cbow-oa-128-autoencoded,rdf2vec-sg-128-autoencoded,rdf2vec-sg-oa-128-autoencoded,non-rdf2vec-ComplEx-128-autoencoded,non-rdf2vec-DistMult-128-autoencoded,non-rdf2vec-RESCAL-128-autoencoded,non-rdf2vec-RotatE-128-autoencoded,non-rdf2vec-TransE-L1-128-autoencoded,non-rdf2vec-TransE-L2-128-autoencoded,non-rdf2vec-TransR-128-autoencoded,rdf2vec-cbow-256-autoencoded,rdf2vec-cbow-oa-256-autoencoded,rdf2vec-sg-256-autoencoded,rdf2vec-sg-oa-256-autoencoded,non-rdf2vec-ComplEx-256-autoencoded,non-rdf2vec-DistMult-256-autoencoded,non-rdf2vec-RESCAL-256-autoencoded,non-rdf2vec-RotatE-256-autoencoded,non-rdf2vec-TransE-L1-256-autoencoded,non-rdf2vec-TransE-L2-256-autoencoded,non-rdf2vec-TransR-256-autoencoded,rdf2vec-cbow-512-autoencoded,rdf2vec-cbow-oa-512-autoencoded,rdf2vec-sg-512-autoencoded,rdf2vec-sg-oa-512-autoencoded,non-rdf2vec-ComplEx-512-autoencoded,non-rdf2vec-DistMult-512-autoencoded,non-rdf2vec-RESCAL-512-autoencoded,non-rdf2vec-RotatE-512-autoencoded,non-rdf2vec-TransE-L1-512-autoencoded,non-rdf2vec-TransE-L2-512-autoencoded,non-rdf2vec-TransR-512-autoencoded
tc04,50,0.64,0.8319444444444445,0.9129824561403508,0.923391812865497,0.9400000000000001,0.9199999999999999,0.9600000000000002,0.8400000000000001,0.9,0.95,0.9099999999999999,0.6599999999999999,0.8099999999999999,0.9235087719298246,0.8894736842105264,0.89,0.8899999999999999,0.9100000000000001,0.76,0.8800000000000001,0.93,0.86,0.6270760233918129,0.7988888888888889,0.8746685340802987,0.9016959064327486,0.9559210526315789,0.9039766081871345,0.945921052631579,0.7540643274853801,0.8130409356725146,0.945921052631579,0.8821783625730995,0.653874269005848,0.8416959064327486,0.886454248366013,0.9455555555555556,0.9257309941520468,0.9342836257309941,0.9589473684210527,0.6938742690058479,0.8135672514619884,0.9242836257309941,0.8244883040935672,0.7122076023391812,0.8411695906432748,0.8929038281979459,0.9133918128654971,0.9211988304093568,0.9042836257309942,0.9478947368421051,0.755233918128655,0.8236257309941519,0.9448099415204678,0.8900877192982456
tc04,5000,0.7017937853563924,0.8740200080360883,0.958465076187504,0.9691247947990679,0.9894140011314047,0.9833248222078552,0.9904227816389204,0.8622796427994182,0.9321832471310814,0.9865683327945692,0.9719617302408275,0.6634185227089058,0.8613975074744724,0.9333161410418629,0.9430861527008247,0.9579115605301439,0.9379440318409568,0.9578898900921287,0.8281869039922418,0.903576567803459,0.9683008041053822,0.9356407426862777,0.6396681005896843,0.8612803654796227,0.9174298891259165,0.9368206342397787,0.9588991640128677,0.9466283233756382,0.9546806542847491,0.7952879713703009,0.8664230215428788,0.9544344222965024,0.9248648080651336,0.656881228538879,0.8682868805074617,0.9131002364599053,0.935832556985636,0.9669494847174237,0.9581836620678427,0.9600652322503642,0.8058735702061247,0.8790226786403348,0.9622990433244581,0.9289447998857762,0.6675302668753373,0.8634127029256915,0.9288590399511086,0.9461154248646346,0.9750997151568044,0.9656729536556531,0.9554144306564707,0.8187915430274695,0.8873374913757768,0.9684433252609204,0.9473296628845762
tc04,500,0.6519999999999999,0.8623990929705215,0.9413098250686159,0.9430981502584114,0.982,0.9729999999999999,0.9780000000000001,0.842,0.908,0.974,0.932,0.643,0.8433087008068879,0.9107097631001537,0.9133563332636768,0.9410000000000001,0.921,0.9410000000000001,0.8,0.858,0.9550000000000001,0.9030000000000001,0.6228260331083085,0.846435040344395,0.9042755688151946,0.9103239560516236,0.9451435158534954,0.9307197539263058,0.9301306423383979,0.7814454271111344,0.8218962734255527,0.9321903407934597,0.8896224524802159,0.6197893778963955,0.8502435857591768,0.8961779060853873,0.9013705832953308,0.9615581779382605,0.9437085724585856,0.9396167309179502,0.7769517272256818,0.8204176042702391,0.93826554096092,0.8944104755757903,0.6308976631139487,0.8462270681538268,0.9057214212028581,0.9177920278094318,0.9686333781057209,0.9576409894116212,0.934062117326914,0.7623702269436741,0.854895808257889,0.9594475378094091,0.8941416261098609
tc04_hard,50,0.525,0.974025974025974,0.76,0.8441558441558441,0.825,0.8625,0.7125,0.65,0.6375,0.7875,0.7125,0.6125,0.935064935064935,0.84,0.8701298701298701,0.7,0.75,0.6625,0.5125,0.575,0.7375,0.6625,0.5714285714285714,0.922077922077922,0.7916666666666666,0.8051948051948052,0.7662337662337663,0.7922077922077922,0.7272727272727273,0.5584415584415584,0.6883116883116883,0.6753246753246753,0.7142857142857143,0.5454545454545454,0.922077922077922,0.75,0.7792207792207793,0.7272727272727273,0.7792207792207793,0.7532467532467533,0.6233766233766234,0.5584415584415584,0.7532467532467533,0.6623376623376623,0.5714285714285714,0.974025974025974,0.8055555555555556,0.8441558441558441,0.7402597402597403,0.8051948051948052,0.6623376623376623,0.5584415584415584,0.6363636363636364,0.7402597402597403,0.7012987012987013
tc04_hard,5000,0.681125,0.9921099516416391,0.9608769856899042,0.9829473148383813,0.9345,0.9175,0.914875,0.78875,0.81775,0.909375,0.847,0.67125,0.9749300076355306,0.9165025600630169,0.9488419445151438,0.877875,0.8655,0.84525,0.7365,0.76025,0.839125,0.775625,0.6575464494782387,0.9741664545685925,0.9036096256684492,0.9308984474420973,0.8827946042249937,0.8684143547976584,0.8419445151438025,0.7042504454059557,0.7344107915500128,0.7974039195724103,0.7934588953932298,0.6745991346398574,0.9820565029269535,0.9112299465240642,0.9415881903792314,0.8908119114278442,0.8733774497327564,0.8500890811911428,0.7095953168745228,0.7234665309238992,0.8215831000254518,0.784296258589972,0.6739628404174091,0.9840926444387885,0.9179144385026738,0.9601679816747264,0.9049376431662001,0.8787223212013235,0.8217103588699415,0.7255026724357343,0.7550267243573429,0.8442351743446169,0.792568083481802
tc04_hard,500,0.61,0.9872448979591837,0.9111405835543767,0.9655612244897959,0.8775,0.87125,0.81125,0.73625,0.75375,0.825,0.815,0.60375,0.9706632653061225,0.8660477453580901,0.8915816326530612,0.8275,0.83625,0.7675,0.6775,0.71625,0.78375,0.73,0.5854591836734694,0.9604591836734694,0.8673883626522327,0.8788265306122449,0.8456632653061225,0.8405612244897959,0.7869897959183674,0.6466836734693877,0.6696428571428571,0.7487244897959183,0.7346938775510204,0.6262755102040817,0.9744897959183674,0.8768606224627875,0.8852040816326531,0.8558673469387755,0.8163265306122449,0.7946428571428571,0.6454081632653061,0.6772959183673469,0.7869897959183674,0.701530612244898,0.6186224489795918,0.9821428571428571,0.8700947225981055,0.9362244897959183,0.889030612244898,0.8494897959183674,0.7614795918367347,0.6454081632653061,0.6823979591836735,0.8010204081632653,0.7461734693877551
tc03,50,0.7749999999999999,0.871875,0.8707430340557276,0.859375,0.7749999999999999,0.8875,0.8999999999999999,0.65,0.7749999999999999,0.85,0.8125000000000001,0.775,0.828125,0.8332430340557275,0.8812500000000001,0.6625000000000001,0.7,0.8624999999999999,0.5875,0.7375,0.8125,0.7375,0.7843749999999999,0.821875,0.8113680340557275,0.871875,0.75625,0.703125,0.8875,0.68125,0.775,0.7875,0.765625,0.784375,0.83125,0.8100812693498453,0.86875,0.696875,0.65625,0.8843749999999999,0.571875,0.696875,0.7625,0.790625,0.784375,0.80625,0.8707430340557276,0.84375,0.7000000000000001,0.7374999999999999,0.890625,0.61875,0.7374999999999999,0.7781250000000001,0.734375
tc03,5000,0.8492414019236374,0.9021026348076466,0.9487911139614229,0.9613758770854949,0.8767614883901681,0.8908306373263383,0.9493483313902652,0.7803942363742349,0.8194483751092976,0.9324027980180706,0.8542914966482075,0.8259808850675217,0.8522409524807595,0.9262576812848495,0.9320986513753244,0.7873325075293889,0.7648432672690177,0.9066875303604391,0.7047154133877391,0.7857075075293889,0.8834723477120374,0.8245957203924998,0.7955251532307267,0.8315218656574804,0.9075531864135374,0.9099775416417959,0.7856373227829205,0.778693648682473,0.8918003817594247,0.6941617229565996,0.7732416154650616,0.8506627095258261,0.810469806261172,0.7937123737181448,0.8800222012562839,0.8994074921413558,0.9167138526676519,0.7979292447858372,0.7875116607152893,0.9038850544664132,0.7056078922336696,0.7730853732854528,0.8666272313276503,0.8051003602404476,0.8133996049306709,0.8630990998322337,0.9221836006793297,0.9388290339657872,0.8082970709714773,0.809692980777806,0.9120434235380399,0.7050484960472319,0.7731512859909242,0.8823419266090945,0.818834294816746
tc03,500,0.8279255319148936,0.9271980612492254,0.9566065740677543,0.9677177949122994,0.8745212765957446,0.8859308510638298,0.9345212765957447,0.7743617021276595,0.8170212765957447,0.9095212765957448,0.8484308510638298,0.8277659574468085,0.8491569713074357,0.9216808864013833,0.9076166011680585,0.7618617021276596,0.7248138297872341,0.8996808510638298,0.682154255319149,0.7567021276595745,0.8534308510638298,0.8006117021276595,0.7591445916709791,0.8436694561769361,0.8917516175580692,0.9141633315353322,0.7656463981609263,0.7540204883272957,0.8961996327123225,0.6516949619535009,0.7473476462921435,0.8363418488729802,0.8071185946274894,0.7943379627633067,0.8483387328547761,0.9163862123539542,0.9162055300771856,0.7715928108168977,0.7612049246018056,0.8987536656891496,0.6782977875289901,0.7337390598345889,0.8623203692522953,0.7680959859505875,0.8068495228614417,0.8701757310198518,0.9262364427687008,0.9338245427940293,0.7809265268913039,0.7600898842552661,0.893959848724436,0.6804317187529948,0.7613841061228989,0.8690494245107623,0.7880594218992583
tc02,50,0.8699999999999999,0.95,0.9482352941176471,0.9266563467492261,0.78,0.8,0.8600000000000001,0.68,0.8,0.9199999999999999,0.89,0.8200000000000001,0.8966563467492259,0.9247058823529413,0.8856037151702788,0.74,0.73,0.79,0.6799999999999999,0.75,0.89,0.76,0.8126006191950463,0.8415479876160991,0.9257142857142858,0.8856037151702786,0.6553869969040248,0.7590712074303406,0.8180185758513933,0.6127244582043343,0.7731269349845202,0.916656346749226,0.7374922600619195,0.8554179566563468,0.8731269349845201,0.9257142857142858,0.8966563467492259,0.7090712074303406,0.7803095975232198,0.8426006191950464,0.6409597523219814,0.7590712074303405,0.874891640866873,0.7544891640866873,0.8361300309597522,0.8871826625386998,0.9357142857142857,0.9571826625386997,0.7067801857585139,0.7403095975232198,0.7785448916408668,0.7021981424148607,0.7290712074303405,0.8961300309597524,0.7667801857585139
