TC Group,TC Size Group,non-rdf2vec-TransR-512-autoencoded,non-rdf2vec-TransE-L2-512-autoencoded,non-rdf2vec-TransE-L1-512-autoencoded,non-rdf2vec-RotatE-512-autoencoded,non-rdf2vec-RESCAL-512-autoencoded,non-rdf2vec-DistMult-512-autoencoded,non-rdf2vec-ComplEx-512-autoencoded,rdf2vec-sg-oa-512-autoencoded,rdf2vec-sg-512-autoencoded,rdf2vec-cbow-oa-512-autoencoded,rdf2vec-cbow-512-autoencoded,non-rdf2vec-TransR-256-autoencoded,non-rdf2vec-TransE-L2-256-autoencoded,non-rdf2vec-TransE-L1-256-autoencoded,non-rdf2vec-RotatE-256-autoencoded,non-rdf2vec-RESCAL-256-autoencoded,non-rdf2vec-DistMult-256-autoencoded,non-rdf2vec-ComplEx-256-autoencoded,rdf2vec-sg-oa-256-autoencoded,rdf2vec-sg-256-autoencoded,rdf2vec-cbow-oa-256-autoencoded,rdf2vec-cbow-256-autoencoded,non-rdf2vec-TransR-128-autoencoded,non-rdf2vec-TransE-L2-128-autoencoded,non-rdf2vec-TransE-L1-128-autoencoded,non-rdf2vec-RotatE-128-autoencoded,non-rdf2vec-RESCAL-128-autoencoded,non-rdf2vec-DistMult-128-autoencoded,non-rdf2vec-ComplEx-128-autoencoded,rdf2vec-sg-oa-128-autoencoded,rdf2vec-sg-128-autoencoded,rdf2vec-cbow-oa-128-autoencoded,rdf2vec-cbow-128-autoencoded,non-rdf2vec-TransR-200-avgbin,non-rdf2vec-TransE-L2-200-avgbin,non-rdf2vec-TransE-L1-200-avgbin,non-rdf2vec-RotatE-200-avgbin,non-rdf2vec-RESCAL-200-avgbin,non-rdf2vec-DistMult-200-avgbin,non-rdf2vec-ComplEx-200-avgbin,rdf2vec-sg-oa-200-avgbin,rdf2vec-sg-200-avgbin,rdf2vec-cbow-oa-200-avgbin,rdf2vec-cbow-200-avgbin,non-rdf2vec-TransR-200-original,non-rdf2vec-TransE-L2-200-original,non-rdf2vec-TransE-L1-200-original,non-rdf2vec-RotatE-200-original,non-rdf2vec-RESCAL-200-original,non-rdf2vec-DistMult-200-original,non-rdf2vec-ComplEx-200-original,rdf2vec-sg-oa-200-original,rdf2vec-sg-200-original,rdf2vec-cbow-oa-200-original,rdf2vec-cbow-200-original
albums,500,0.6787685621449635,0.7900021614219788,0.7492880897458178,0.66974110397826,0.7401168090841145,0.6972380335115562,0.7421998405643075,0.7764033302127671,0.7714121960733081,0.632072018377263,0.6336024605987406,0.672543058037176,0.804044314576291,0.7291054519217295,0.660839543227414,0.7577490260739708,0.7227668972411333,0.6917312246310783,0.7672028317700593,0.78496111453853,0.6450926185074736,0.6678280511483935,0.6804547190857267,0.8029409757287763,0.7037757361408402,0.6438881422675963,0.7509059446485171,0.692572637361579,0.68938873340982,0.7699027312398207,0.7497747423195573,0.6093292900676396,0.5754079953904966,0.6735627177700348,0.7934059233449476,0.6798127177700347,0.6499346689895471,0.7562848432055749,0.6629094076655052,0.6940766550522648,0.7656621006439563,0.7943208205456488,0.6127228076409097,0.701733449477352,0.7328702090592334,0.8088109756097561,0.7466158536585367,0.6839285714285714,0.7913588850174217,0.7673954703832753,0.7635540069686411,0.8001288653898769,0.7954029325599342,0.6289177846645322,0.7325653310104531
albums,5000,0.6992066350405063,0.8552932745450348,0.7979407698126979,0.71052570966689,0.7573680432581072,0.7231408123759391,0.7203099055497492,0.7659374364972887,0.7691937515501555,0.6649549871465943,0.6285330892043426,0.6943553852985438,0.8345042866599679,0.7843483001043431,0.648623941995748,0.782719793811029,0.7283406502295491,0.7202841841376637,0.7547789863940492,0.7268993145850393,0.6439463628235241,0.635275197256391,0.7046596751353569,0.8261783518820341,0.7872146481548459,0.6937931124540154,0.8017343975851879,0.6972898981399388,0.7390923754406135,0.7400980581080597,0.7389099184763585,0.6617563248731941,0.6269782487167322,0.7049599303135888,0.8366498257839721,0.7513183797909408,0.7097787456445992,0.8095679442508712,0.6607373693379792,0.6788479965156794,0.7571132492212883,0.7798912656868957,0.6677993816920507,0.7395413763066202,0.7622648083623693,0.8615797038327526,0.8085130662020906,0.7420810104529617,0.8296032229965157,0.7914494773519163,0.8075749128919861,0.7851581096000417,0.79693707424155,0.6842503454539691,0.7116389372822299
albums,50,0.668817462416039,0.8198388383037641,0.728976817693283,0.6389401469656908,0.7238187739690802,0.6851874170255412,0.7401550375982056,0.7549189675471342,0.7601437073837587,0.6129795108614108,0.6275975133882871,0.6800849164647282,0.7950468349998743,0.684590011473715,0.5988213116079092,0.7423961156082831,0.6468915665345687,0.7121311164745624,0.7221568368421686,0.736093132370411,0.6224747328198685,0.6056250536808213,0.6575320602440733,0.7833064093898335,0.7027336226276769,0.6453121211347435,0.7737798705413792,0.6588495432355623,0.6949274235294937,0.701430426384522,0.6952188590186024,0.6328600909498198,0.5746858234305627,0.6678135888501742,0.7743466898954704,0.6755226480836236,0.6185104529616725,0.7368902439024391,0.6013501742160279,0.6942508710801394,0.744506365411128,0.7519367750187448,0.6457873718228603,0.7199912891986062,0.7221689895470383,0.811411149825784,0.7093641114982578,0.6701655052264809,0.7645905923344948,0.710322299651568,0.734712543554007,0.7780160919011442,0.776113108102148,0.643312071331603,0.6996080139372823
movies,500,0.7195398652858602,0.8150346410806353,0.6573760283022162,0.5848647448649735,0.6979289085919769,0.6835865872508187,0.6435823706921251,0.7551472480868228,0.7617314741132376,0.7489368925498967,0.6291820408593184,0.7235852373853693,0.8034626007768819,0.6548131244937283,0.5670602611661746,0.739325632034029,0.6821747158231812,0.6891613697794415,0.7594072935273085,0.7509536338226621,0.7383251607204655,0.634915610595506,0.7101943613329444,0.7840113414008023,0.632416597947216,0.5605637885339579,0.7253144562421611,0.6507162623366367,0.6498291221328406,0.7714502529023719,0.7362583948667631,0.715367024172014,0.6245100535542849,0.7121849132257806,0.8119430605644833,0.6800581927827217,0.5796955963523756,0.7089265625236385,0.6247080207238691,0.6472841292728142,0.7538498972417405,0.7525639763113602,0.7512577175503554,0.6495667427752156,0.7258050733795802,0.8268330697463863,0.7055777267284146,0.6198183344796164,0.7648910929141077,0.7144908887942382,0.7038607443392811,0.7884162329451331,0.7882668027290533,0.7667448991925472,0.6572131673608372
movies,5000,0.713656741606036,0.8211010847812348,0.6895922614177534,0.613773382225664,0.7177245215663507,0.7005015365990632,0.6924148854535848,0.765138365470224,0.7723391178108799,0.7344824487032013,0.6085987833879433,0.7011586470838298,0.8129085168907929,0.6563584944676532,0.5993381069965539,0.7596020519526588,0.6709094667251848,0.7144923792264997,0.7738672546699404,0.7743735026696174,0.7329363369957204,0.6098976365655844,0.7091455789026653,0.8062455664421657,0.6570806138639939,0.5923207358956932,0.7169764205113397,0.706594943834685,0.6817586695140536,0.7560010758121679,0.7451436552642157,0.7362412247166104,0.6041463813000407,0.7225044201319677,0.8321435020467541,0.7272168265307412,0.5909241588872605,0.725643003530019,0.6505162505172304,0.7184443881245871,0.771505854382977,0.7758716075319647,0.7397872369873351,0.6721912065238279,0.7133000438215661,0.8589868746427644,0.7471115325036018,0.6219925851572405,0.7617692442825283,0.7278944502967158,0.7396532771904626,0.7960181054472754,0.791252332254944,0.7189356884750722,0.6866929987371984
movies,50,0.6898684622289568,0.7741805911273255,0.6584139703036342,0.5712693219906283,0.7380729685659934,0.6382200709879847,0.6751279554307454,0.775583159706495,0.7380773973085324,0.7304661571782687,0.6046830864126362,0.6766384059820965,0.7623123388976273,0.6185125670144694,0.53142597732008,0.7276208731028009,0.6466108796086601,0.6555605539039274,0.7515790091329089,0.7355913126188967,0.6876590435563168,0.6036626341318795,0.6737002692931672,0.7666238089747919,0.5938160365316357,0.563304585395581,0.6997879419249108,0.6098082006769387,0.6627571461512489,0.7160940755503217,0.7190743676460227,0.6664252361462253,0.619266196707541,0.6850903614457831,0.7688253012048194,0.679066265060241,0.5365963855421688,0.7335843373493977,0.6233433734939758,0.6259036144578314,0.7476549053356283,0.7466885530128509,0.6938656540035741,0.5950301204819277,0.699698795180723,0.8046686746987953,0.6436746987951807,0.5722891566265059,0.7853915662650605,0.6576807228915663,0.6847891566265061,0.7893742433850233,0.7666447268086336,0.7314113597246128,0.6310240963855421
people,500,0.7814915742549776,0.8749799945352578,0.7920588316584409,0.6802759159285118,0.8308821111158291,0.7811184128571005,0.800789922555874,0.8637041241638598,0.8383463653014601,0.8607201877793643,0.7190206595213737,0.7703136533352333,0.8659759858687721,0.7853649449634336,0.6757746473337308,0.8635417695348133,0.7847540242579407,0.7985385475701683,0.8474344480725088,0.8370425796147978,0.8575370426976878,0.7097568100898126,0.770847298272075,0.8565003465809177,0.7850712051801776,0.6760968310075152,0.8640614632562207,0.7743526136729599,0.7860897993620729,0.8374919322457217,0.8339328400947926,0.8532232068188315,0.7043622479202565,0.780296052631579,0.8633223684210527,0.7855043859649121,0.6850548245614035,0.8582127192982454,0.7708771929824563,0.7875657894736842,0.8494344707331937,0.8345191016022837,0.8663610892926381,0.7257785087719298,0.7941885964912282,0.8856249999999999,0.809451754385965,0.7046710526315789,0.8869627192982455,0.8276973684210526,0.8303070175438596,0.8794640919195812,0.861104354036112,0.8659115318222478,0.7189254385964913
people,5000,0.7959786651159971,0.8840497473577406,0.806782140283759,0.690039009198625,0.8360907132485055,0.7993810419964908,0.8150036618978883,0.8724467920506728,0.8518560618360942,0.8754416807770368,0.7320185451019896,0.7893305933160765,0.8805032058436694,0.8024857727309376,0.6821447343321315,0.8686286347127337,0.8029092533916262,0.8177658896037057,0.8616464709632808,0.8475826523316473,0.874065272486994,0.7316038435701652,0.7974682621643822,0.8695003567945211,0.8013747086321272,0.6812304452129152,0.8695265387617906,0.7923165197077643,0.8028086953853719,0.8485106691075316,0.8428135586903229,0.8672073222033445,0.7248005830313533,0.7963402703984354,0.8785615624281832,0.8061600671186339,0.6953487498339649,0.8634095148099888,0.7877436569719678,0.8015219348758972,0.8668232489620175,0.8496103220812734,0.8774229002343271,0.7400642921699554,0.8099120276518018,0.8975468629975873,0.831324937530352,0.7165938206088871,0.8876525256063184,0.8379704916346368,0.8395242418867642,0.8847088083796819,0.8668089686908552,0.8781378796754549,0.7316638134966065
people,50,0.6994282757774061,0.8068857807670492,0.7175454181684903,0.6350565558170899,0.8112777765557817,0.7428287951374003,0.7111325208887892,0.8025316871036027,0.7980420131942076,0.811073573044977,0.6932237506178084,0.7010737263542423,0.8108924986003481,0.7232941204719746,0.633204309204393,0.8153968142385689,0.749319540827281,0.7303831333314047,0.7974910561603346,0.7825787143501431,0.8020672391615188,0.6868942990214559,0.7120520041790539,0.8006295058847693,0.740878922918113,0.6167652371721014,0.8167025690077403,0.7384954456357427,0.7301239725266893,0.7932549646024147,0.7797374530439841,0.805060430995327,0.664628106962941,0.7287280701754385,0.8277412280701756,0.7368421052631579,0.6491228070175439,0.8130482456140351,0.7157894736842106,0.7162280701754387,0.8038589246995498,0.7873469606687756,0.8049965465301114,0.6985745614035088,0.7387061403508771,0.8514254385964912,0.7472587719298246,0.6698464912280702,0.8526315789473684,0.793421052631579,0.7783991228070175,0.8295369765698004,0.8048172400760054,0.8171296842162973,0.7000000000000001
cities,500,0.7216595904422078,0.8203649995132319,0.7254119234916303,0.6534468792817094,0.7817120569342026,0.7022487259921891,0.7108554488318224,0.8200413316165155,0.8135475214730273,0.8346348476939756,0.7084024316352714,0.695674618425225,0.798648927775765,0.7171823107749825,0.6364841093764522,0.7876364861899161,0.686148825671331,0.7002174220311284,0.8102894372279695,0.8180338308412916,0.8249680621675067,0.7007817218523668,0.6915745426756392,0.786759367474417,0.7267939349507534,0.6492597054182913,0.7974089572574062,0.6779699142283651,0.6850606709631836,0.8065738129155059,0.8032294511399218,0.8139246995660191,0.6951084700009705,0.7027052911328465,0.7997968996341707,0.7323053374355206,0.6546711553473848,0.7992093244401587,0.6594624584806603,0.7049883190981309,0.820037489815069,0.8076063023969011,0.8276128318383286,0.7184737433224657,0.7412279296964687,0.8466078220905849,0.7578307866862593,0.669278826284612,0.8191105294576846,0.7521683810136078,0.7574106377523685,0.8298139763952641,0.8366775778921286,0.8235208322919946,0.7253765727602518
