"TC Collection","Size Group","Vector Name","Classifier","AVG Accuracy","AVG # missing URLs","Vector Path"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,82233918128655",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,775701754385965",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","KNN","0,849005847953216",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","SVM","0,881169590643275",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","Random_Forrest","0,900891812865497",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",50,"rdf2vec-sg-oa-512-autoencoded","Multi_Layer_Perceptron","0,925614035087719",5,"embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,883384448147478","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,808491181752462","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","KNN","0,923512165488417","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","SVM","0,941950705930133","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","Random_Forrest","0,943174745071249","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",5000,"rdf2vec-sg-oa-512-autoencoded","Multi_Layer_Perceptron","0,948403024535364","330,6","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",500,"rdf2vec-sg-oa-512-autoencoded","Decision_Tree","0,842544498567651","37,4","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
"tc04",500,"rdf2vec-sg-oa-512-autoencoded","Naive_Bayes","0,778829314913643","37,4","embeddings/rdf2vec-sg-oa-512-autoencoded.txt"
